epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,3976.62,0.8883,1.35542,0.54561,0.91169,0.90095,0.86668,0.89631,0.63278,0.89558,0.85327,0.88135,0.50674,1.14845,1.58561,0.73746,1.07672,0.000387994,0.000387994,0.000387994
95,4029.65,0.89088,1.36282,0.54917,0.91671,0.91121,0.85425,0.89734,0.63062,0.90469,0.85258,0.88918,0.50994,1.1488,1.59655,0.74018,1.07403,0.000374242,0.000374242,0.000374242
96,4052.47,0.88782,1.3509,0.5454,0.91541,0.90847,0.85263,0.89756,0.63087,0.91413,0.84023,0.88967,0.50883,1.12929,1.57744,0.73843,1.06139,0.000360489,0.000360489,0.000360489
97,4078.86,0.89625,1.3812,0.55356,0.91881,0.89407,0.86429,0.89038,0.62856,0.8879,0.86054,0.88902,0.50937,1.13794,1.61792,0.73671,1.06559,0.000346736,0.000346736,0.000346736
98,4115.71,0.88478,1.34837,0.56782,0.90925,0.91241,0.85258,0.8969,0.63346,0.91036,0.85076,0.89447,0.51506,1.14185,1.58706,0.7325,1.06348,0.000332983,0.000332983,0.000332983
99,4153.64,0.89002,1.35274,0.54478,0.91151,0.9052,0.85528,0.89764,0.63388,0.90704,0.84753,0.89263,0.50659,1.14779,1.62101,0.73539,1.0851,0.000319231,0.000319231,0.000319231
100,4174.48,0.88262,1.3506,0.54185,0.91621,0.90596,0.86199,0.89916,0.63278,0.90591,0.85136,0.88936,0.50557,1.13582,1.60945,0.71925,1.0812,0.000305478,0.000305478,0.000305478
101,4196.38,0.88884,1.35755,0.54298,0.91829,0.9075,0.86034,0.89698,0.63402,0.90135,0.85165,0.89118,0.5067,1.1337,1.60506,0.72705,1.08015,0.000291725,0.000291725,0.000291725
102,4227.19,0.8811,1.36161,0.53887,0.91178,0.8982,0.867,0.89736,0.63356,0.89569,0.85737,0.89034,0.50611,1.12752,1.60008,0.7259,1.07209,0.000277972,0.000277972,0.000277972
103,4257.57,0.87681,1.33229,0.53322,0.91484,0.88449,0.87914,0.89515,0.63086,0.88144,0.87363,0.88871,0.50787,1.12617,1.59548,0.72648,1.07316,0.00026422,0.00026422,0.00026422
104,4287.66,0.87445,1.33865,0.53455,0.91376,0.89947,0.86907,0.89957,0.64057,0.89753,0.86725,0.8977,0.51121,1.13682,1.57191,0.72025,1.0772,0.000250467,0.000250467,0.000250467
105,4421.8,0.88549,1.3515,0.53859,0.90926,0.89484,0.87347,0.90125,0.63641,0.91164,0.84406,0.89276,0.51248,1.14388,1.59858,0.71907,1.07704,0.000236714,0.000236714,0.000236714
106,4452.45,0.86313,1.32889,0.52868,0.90642,0.91902,0.85471,0.89832,0.63415,0.91644,0.85078,0.89462,0.51306,1.13132,1.57744,0.72667,1.07242,0.000222961,0.000222961,0.000222961
